S. No.,news_title,news_details,news_date,source_name,event,Political Bias,Social Bias,Comment
550,"राकेश टिकैत ने सरकार के सामने रखी शर्तें, कहा- ये बातें मान लें तो खत्म होगा आंदोलन","टिकैत का कहना है कि सरकार ने 3 बातों का जवाब तो दे दिया है, लेकिन अभी एक और बात है एमएसपी की. उन्होंने कहा कि सरकार अगर 26 जनवरी से पहले तक मान जाएगी तो हम अपना आंदोलन खत्म करके चले जाएंगे...","Nov 24,2021, 14:16 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
551,"वही हो रहा है जिसकी थी आशंका, लंबा खिंचेगा किसान आंदोलन; जानिए कैसे",नई दिल्ली: पीएम नरेंद्र मोदी (प्रधान मंत्री  नरेंद्र मोदी) द्वारा तीनों कृषि कानूनों को वापस लेने के ऐलान के बावजूद किसान नेताओं ने अपना आंदोलन वापस लेने की बजाय इसे और तेज करने का ऐलान कर दिया है.,"Nov 24,2021, 6:54 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
552,"अनूप जलोटा ने किसान आंदोलन को लेकर दिया बयान, कहा- विरोधी कर रहे सियासत, देश के रहिए","चार दिन पहले आजमगढ़ जिले में आईं प्रख्यात अदाकारा और पूर्व सांसद शबाना आजमी ने बयान दिया था कि किसान बिल जिस तरह से वापस हुआ, उसी प्रकार सीएए-एनआरसी भी वापस करने को लेकर भी आंदोलन होना चाहिए. इस सवाल पर अनूप जलोटा ने कहा कि सरकार ने जो भी कानून बनाया, वह वापस हो जाएंगे तो इसका लोग नाजायज फायदा उठाने लगेंगे. सरकार ने किसानों को काफी सहूलियत दी है.","Nov 23,2021, 13:16 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,Indirect Speech
553,क्या कहते हैं गांव के किसान? 2022 में यूपी में किसकी बनेगी सरकार,उत्तर प्रदेश चुनाव से ठीक पहले पीएम मोदी ने तीनों कृषि कानून की वापसी का ऐलान कर दिया है. ज़ी हिन्दुस्तान की टीम ने गांव में जा कर खेतों में काम करने वाले किसानों से उनके मूड को जाना और समझा. इस बार किसानों का झुकाव किस ओर होगा?,"Nov 23,2021, 12:18 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
555,"मृतक किसानों के परिवारों को मिलेगी 3-3 लाख की मदद, इस राज्य ने किया बड़ा ऐलान",केंद्र सरकार की ओर से तीनों कृषि कानूनों को वापस लेने का ऐलान हो चुका है. उसके बाद एक राज्य ने आंदोलन में मारे गए किसानों के परिवारों को मुआवजा देने की घोषणा की है.,"Nov 20,2021, 23:59 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
556,कृषि कानूनों की वापसी के बाद क्या खत्म होगा आंदोलन? किसान मोर्चा ने लिया ये फैसला,केंद्र की नरेंद्र मोदी सरकार संसद से पारित तीनों कृषि कानूनों को वापस लेने का ऐलान कर चुकी है. इसके बाद प्रदर्शनकारी किसानों ने शनिवार को बैठक कर अपने आंदोलन को लेकर (किसान आंदोलन) बड़ा फैसला किया.,"Nov 20,2021, 19:26 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
557,"...तो क्या गाजीपुर बॉर्डर से खाली होंगे टेंट और ट्रैक्टर, पढ़ें पूरी रिपोर्ट",पीएम मोदी ने एक ओर किसानों के लिए लागू केन्द्र सरकार की योजनाओं का बखान तो किया ही साथ ही किसानों के हितों की बात करते हुए कैसे अन्नदाता के आंगन में खुशियों की फसल उगे. इसका भी रोडमैप जनता के सामने पेश किया.,"Nov 20,2021, 19:17 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
558,"कृषि कानूनों की वापसे पर मौलाना अरशद मदनी का बड़ा बयान, CAA को लेकर कह दी बड़ी बात",जमीयत उलेमा-ए-हिंद के राष्ट्रीय अध्यक्ष मौलाना अरशद मदनी ने भी बड़ा बयान दिया है. उन्होंने ट्वीट करते हुए सरकार के इस फैसला का स्वागत किया है.,"Nov 20,2021, 16:08 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
559,"
सिंघू बॉर्डर पर कोर कमेटी की बैठक शुरू",संयुक्त किसान मोर्चा की बैठक दिल्ली में शुरू हो गई है. इस बैठक में किसान संगठन आंदोलन की आगे की रणनीति बनाएंगे. संयुक्त किसान मोर्चा में किसानों के 42 संगठन शामिल हैं.,"Nov 20,2021, 15:35 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
560,दिल्ली के  सिंघू बॉर्डर पर किसान मोर्चा की बैठक,कृषि कानून वापसी की घोषणा के बाद अब सभी की निगाहें किसान संगठनों पर हैं. आज सिंघु बॉर्डर पर आगे की रणनीति को लेकर संयुक्त किसान मोर्चा की सुबह बैठक.,"Nov 20,2021, 14:50 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
561,"राहुल गांधी ने किसानों को लिखा खुला खत, पीएम मोदी के लिए लिखी ऐसी बात",कृषि कानूनों को वापस लेने के सरकार के फैसले के बाद कांग्रेस नेता राहुल गांधी ने किसानों के नाम एक चिठ्ठी लिखी. उन्होंने कहा कि अन्नदाताओं ने अपने सत्याग्रह से सरकार के अहंकार को झुका दिया है.,"Nov 20,2021, 7:17 AM IST",ZEE News,Kisaan Andolan,Anti BJP,Neutral,Indirect Speech
563,"कृषि कानून निरस्त की खुशी में हेमा मालिनी ने मथुरा में निकाली रैली,कही ये बड़ी बात","हेमा मालिनी ने कहा कि मुझे खुशी होती है कि कुछ समय पूर्व किसानों की ओलावृष्टि से फसल बर्बाद हुई थी, तब भी मैं किसानों को लेकर वित्त मंत्री जी के पास गई थी और उनको मुआवजा दिलवाने के लिए कहा था. ","Nov 19,2021, 20:34 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
564,पुलिस के पूर्व कांस्‍टेबल से लेकर...वे नेता जिन्होंने किसान आंदोलन का किया नेतृत्व,"एक डॉक्टर, एक रिटायर्ड टीचर, एक पूर्व सैन्यकर्मी, दिल्ली पुलिस का एक पूर्व कांस्टेबल... ये सब उन लोगों में शामिल हैं जिन्होंने 3 नए कृषि कानूनों के खिलाफ देशव्यापी आंदोलन को दिशा दी. आपको बता दें कि प्रधानमंत्री नरेंद्र मोदी ने इन तीनों कानूनों के खिलाफ 1 साल से भी ज्यादा टाइम से चल रहे विरोध प्रदर्शनों को देखते हुए शुक्रवार को इन्हें रद्द करने की घोषणा की.","Nov 19,2021, 19:19 PM IST",ZEE News,Kisaan Andolan,Anti BJP,Neutral,
565,कृषि कानून वापसी पर लालू प्रसाद यादव ने कहा ये किसान भाइयों की जीत है,केंद्र सरकार द्वारा कृषि कानून वापस लिए जाने पर राजद सुप्रीमो लालू प्रसाद यादव ने मोदी सरकार पर फिर हमला बोला है.,"Nov 19,2021, 17:30 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
566,कृषि कानून वापसी पर हरीश रावत ने कहा ये किसानों की महान जीत है,तीन कृषि कानून केंद्र सरकार द्वारा वापस लेने पर कांग्रेस नेता हरीश रावत ने इसे किसानों की महान जीत बताया है,"Nov 19,2021, 17:25 PM IST",ZEE News,Kisaan Andolan,Anti BJP,Pro Kisan,Indirect Speech
567,पंजाब के पूर्व सीएम कैप्टन अमरिंदर सिंह ने कृषि कानून वापस लेने पर पीएम को धन्यवाद कहा,कांग्रेस के कद्दावर नेता रहे और पंजाब के पूर्व सीएम कैप्टन अमरिंदर सिंह ने तीन कृषि कानून को वापस लेने का फैसला सही ठहराया.,"Nov 19,2021, 17:15 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
569,कृषि कानून वापसी पर असदुद्दीन ओवैसी का बयान सुनकर दंग रह जाएंगे,कृषि कानून वापसी के बाद ओवैसी ने पीएम मोदी पर साधा निशाना. कहा ये सरकार डरती है.,"Nov 19,2021, 15:35 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
571,कृषि कानून वापस लेने पर प्रियंका गांधी वाड्रा ने ये क्या कह दिया?,कृषि कानून वापसी पर कांग्रेस की प्रियंका गांधी वाड्रा ने केंद्र सरकार की नीयत पर सवाल उठाए,"Nov 19,2021, 15:35 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
572,कृषि कानून वापसी पर क्या बोले अन्नदाता,देश के पीएम मोदी द्वारा कृषि कानून वापस लिए जाने पर अन्नदाताओं ने खुशी जाहिर की है.,"Nov 19,2021, 15:30 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
573,कृषि कानून वापसी पर अब आया राकेश टिकैत का बड़ा बयान,केंद्र सरकार द्वारा कृषि कानून वापसी पर किसान आंदोलन के प्रमुख नेता राकेश टिकैत ने क्यों कहा अभी आंदोलन खत्म नहीं होगा,"Nov 19,2021, 15:30 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
574,कृषि कानून वापस लेने पर ये क्या बोल गए रणदीप सिंह सुरजेवाला,"केंद्र सरकार द्वारा कृषि कानून वापस ले लिए गए हैं, जिसके बाद कांग्रेस पार्टी सरकार और भारतीय जनता पार्टी पर जमकर निशाना साध रही है. कांग्रेस प्रवक्ता रणदीप सिंह सुरजेवाला ने मोदी सरकार पर जमकर हमला बोला.","Nov 19,2021, 15:25 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
575,कृषि कानून वापस लेने पर सीएम योगी की बड़ी बात,"केंद्र सरकार द्वारा कृषि कानून वापसी पर यूपी के सीएम योगी आदित्यनाथ ने कहा की बीजेपी सभी की आवाज को जगह देती है, सुनती है और जनहित के लिए हमेशा प्रयासरत रहती है","Nov 19,2021, 15:25 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,Indirect Speech
576,कृषि कानून वापस लिए जाने पर कांग्रेस ने क्यों किए ये सवाल,"कृषि कानून वापस लिए जाने पर जहां देश भर के किसान खुशी मना रहे हैं वहीं कांग्रेस पार्टी और राजस्थान के सीएम गहलोत भी सवाल पूछ रहे हैं, कानून वापसी कांग्रेस के 5 सवाल","Nov 19,2021, 15:25 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
577,कृषि कानून वापस लेने पर पश्चिम बंगाल की सीएम ममता बनर्जी ने क्या कहा ?,"मोदी सरकार द्वारा कृषि कानून वापस लेने पर पश्चिम बंगाल की सीएम ममता बनर्जी ने कहा कि ये किसानों की जीत है, किसान घबराएं नहीं.","Nov 19,2021, 15:20 PM IST",ZEE News,Kisaan Andolan,Anti BJP,Neutral,
578,किसानों के हित के लिए कृषि कानून लाए गए थे - प्रधान मंत्री  नरेंद्र मोदी,"प्रधामंत्री नरेंद्र मोदी ने देश को संबोधित करते हुए कहा, 'कृषि अर्थशास्त्रियों ने, वैज्ञानिकों ने, प्रगतिशील किसानों ने भी उन्हें कृषि कानूनों के महत्व को समझाने का भरपूर प्रयास किया. आज मैं आपको, पूरे देश को, ये बताने आया हूं कि हमने तीनों कृषि कानूनों को वापस लेने का निर्णय लिया है.","Nov 19,2021, 15:15 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,Indirect Speech
579,तीनों नए कृषि कानून वापस लेने का प्रधान मंत्री  नरेंद्र मोदी ने किया ऐलान,"प्रधानमंत्री नरेंद्र मोदी के सबसे बड़ा ऐलान, तीनों नए कृषि कानून वापस लिए गए। प्रधान मंत्री मोदी ने आंदोलनकारी किसानों से अनुरोध किया है की वह घर लौट जाएं।","Nov 19,2021, 15:15 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
581,मोदी के कानून वापसी के मास्टरस्ट्रोक ने उलट-पुलट दिए यूपी में विपक्षियों के समीकरण,कानून वापसी के बेहद बड़े फैसल से साफ है कि बीजेपी ने इस मामले के चलते यूपी की सत्ता किसी भी सूरत में हाथ से जाने नहीं देना चाहती है.,"Nov 19,2021, 15:06 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
582,"वापस होंगे कृषि कानून, एक्सपर्ट से समझिए क्या है कानून को निरस्त करने की प्रक्रिया",राष्ट्र के नाम अपने संबोधन की शुरूआत प्रधानमंत्री नरेंद्र मोदी ने प्रकाश पर्व की शुभकामनाओं के साथ की और एक ऐसी घोषणा की जिसकी उम्मीद शायद ही किसी ने की हो.,"Nov 19,2021, 13:48 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
583,"प्रधान मंत्री मोदी के कृषि कानूनों को वापस लेने के फैसले पर कांग्रेस ने कसा तंज, देखिए क्या कहा",गुरु नानक जयंती के मौके पर पीएम मोदी ने किसानों के हक में बड़ा फैसला लिया. ये इन कानूनों का विरोध कर रहे करीब 15 महीने से आंदोलन पर बैठे किसानों के लिए राहत की खबर है.,"Nov 19,2021, 12:31 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
584,"बड़ी खबर: प्रधान मंत्री मोदी ने किया बड़ा ऐलान, तीनों कृषि कानून होंगे वापस",प्रधान मंत्री मोदी ने देश के नाम संबोधन दिया. इस दौरान पीएम मोदी ने देव दीपावली और प्रकश पर्व की दी बधाई. उन्होंने कहा ये भी बहुत सुखद है कि डेढ़ साल के अंतराल के बाद करतारपुर साबिह कॉरिडोर अब फिर से खुल गया है. इसी के साथ उन्होंने एक बड़ा ऐलान किया.,"Nov 19,2021, 10:06 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral,
585,"ग्लोबल जाट समिट में मेघालय के राज्यपाल का बड़ा बयान, किसानों को उनकी एमएसपी दे दीजिए",ग्लोबल जाट समिट का मुख्य उदेश्य समाज को शिक्षा से जोड़ते हुए आगे बढ़ाने और कुरीतियों को समाप्त करना का रहा.,"Nov 7,2021, 18:17 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
586,"26 नवंबर तक कृषि कानूनों को करो रद्द, नहीं तो किलेबंदी के साथ आंदोलन होगा तेज: टिकैत",आने वाले 26 नवंबर को किसान आंदोलन को शुरू हुए एक साल हो जाएगा. किसान नेता राकेश टिकैत ने ट्वीट करके कहा कि सरकार के पास 26 नवंबर तक का समय है. अगर इस दौरान उनकी मांग पूरी नहीं हुई तो किसान पक्की किलेबंदी के साथ दिल्ली के बॉर्डर पर आंदोलन करेंगे.,"Nov 1,2021, 13:12 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
587,"दिल्ली से मेरठ जाने के लिए रास्ते खुले,पुलिस ने हटाई गाजीपुर बॉर्डर पर लगी बैरिकेडिग",सुप्रीम कोर्ट के आदेश के बाद दिल्ली मेरठ एक्सप्रेस-वे पर किसान आंदोलन के चलते 11 महीने से बंद दिल्ली से मेरठ वाली लाइन और एनएच-9 की लेन को दिल्ली पुलिस ने खोल दिया है.,"Oct 29,2021, 12:14 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral,
591,"सिंघु बॉर्डर पर फिर निहंगों की बर्बरता, मामूली विवाद में युवक का पैर तोड़ा","सिंघु बॉर्डर पर निहंगों का कहर जारी है. गुरुवार को एक निहंग सिख ने एक युवक को पीट-पीटकर उसकी टांग तोड़ दी. इस हमले में युवक को गंभीर चोटें आई है. इस वीडियो के जरिए जानिए पूरा मामला, आखिर लखबीर हत्याकांड के बाद फिर बवाल क्यों?","Oct 22,2021, 13:00 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
592,"राकेश टिकैत ने रास्ता खोलने को लेकर दिया बड़ा बयान, SC की सख्ती के बाद ढीले पड़े तेवर",किसानों ने गाजीपुर बार्डर नेशनल हाईवे 24 पर सर्विस लेन को खोल दिया है. मुर्गा मंडी की तरफ जाने वाली सर्विस लेन को खोला है. नेशनल हाईवे 24 के दिल्ली गाजीपुर मुर्गा मंडी की तरफ जाने वाली सर्विस लेन को आंदोलनजीवियों ने राकेश टिकैत की मौजूदगी में खोला. मामला सुप्रीम कोर्ट में जाने के बाद फैसला लिया. बता दें कि किसानों ने गाजीपुर बॉर्डर पर सबसे पहले यही रास्ता जाम किया था. सुप्रीम कोर्ट की फटकार के बाद अब वो रास्ते पर आने लगे हैं. वहीं सर्विस लेन खोले जाने को लेकर किसानों ने सफाई पेश की है. BKU ने रास्ता खाली करने को आधारहीन बताया. भारतीय किसान यूनियन ने कहा कि अफवाह फैलाई गई.,"Oct 21,2021, 15:36 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
593,"लखीमपुर हिंसा: SIT ने जारी की संदिग्धों की तस्वीरें, सूचना देने वाले को मिलेगा इनाम","तीन अक्‍टूबर को हुई इस हिंसा में 4 किसानों समेत 8 लोगों की मौत हो गई थी. चार किसानों के अलावा अन्य मृतकों में दो भाजपा कार्यकर्ता, एक ड्राइवर और एक पत्रकार भी शामिल हैं.","Oct 19,2021, 20:02 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
594,"पटरी से उतरा राकेश टिकैत का बंद वाला 'प्लान', किसान आंदोलन के नाम पर उपद्रव","सड़क जाम, चक्का जाम, हाइवे पर हुड़दंग, ट्रैक्टर तांडव, किसानों के नाम पर सियासी नौटंकी... 10 महीने से उपद्रव देख-देखकर देश की जनता तंग आ चुकी है. हर कोई जानना चाहता है कि ये रोज-रोज की नौटंकी कब तक चलेगी. कब तक लोग यूं ही जाम से जूझते रहेंगे, कब तक सड़कें बंद होने से मुश्किलें झेलते रहेंगे, बॉर्डर पर बैठा अय्याश गैंग महिलाओं-बेटियों से छेड़खानी करता है. अराजकता का खुला खेल खेलता है. सिंघु बॉर्डर पर जिस तरह से युवक की निर्मम हत्या की गई. जिस तरह बॉर्डर पर देश विरोधी तत्वों का जमावड़ा है, उससे इलाके के लोग दहशत में है और बॉर्डर खुलवाने की गुहार लगा रहे हैं.","Oct 19,2021, 11:45 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
595,"किसानों ने रेलवे स्टेशन के बाहर किया केंद्र सरकार का विरोध, जमकर की नारेबाजी",सीकर में मोर्चे के कार्यकर्ताओं ने रेलवे स्टेशन के बाहर बैठकर केंद्र सरकार के खिलाफ जमकर नारेबाजी की.,"Oct 18,2021, 16:17 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
596,26 अक्टूबर को लखनऊ में किसानों की होगी महापंचायत होगी,किसानों ने आज 6 घंटे तक ‘रेल रोको’ आंदोलन का ऐलान किया है. संयुक्त किसान मोर्चे के आह्वान पर हिसार एरिया में भी ट्रैक पर किसानों ने पड़ाव डाला हुआ है. हिसार में किसानों ने 5 जगहों पर प्रदर्शन के स्पोट बनाएं हैं.,"Oct 18,2021, 16:09 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
597,27 अक्टूबर को होगा सिंघु बॉर्डर से निहंगों के वापस लौटने का फैसला,सिंघु बॉर्डर पर बीते दिनों युवक की हत्या के बाद किसान आंदोलन से निहंगों को हटाने की मांग तेज होती जा रही है. बढ़ती मांग को देखते हुए निहंग जत्थेबंदियों ने 27 अक्टूबर को सिंघु बॉर्डर पर ही धार्मिक एकत्रता बुला ली है,"Oct 18,2021, 15:37 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
598,"सिंघु बॉर्डर केस के आरोपी का खालिस्तानी कनेक्शन, नारायण सिंह का वीडियो आया सामने","एक साल से दिल्ली के अलग अलग बॉर्डर पर अवैध तरीके से जमे किसानों के तंबुओं में क्या क्या हो रहा है. इन तंबुओं में वेश्यावृत्ति, शराब, गैंगरेप, मर्डर, ड्रग्स और खालिस्तानी कनेक्शन की खबरें आम हो चुकी हैं. दलित युवक की बेरहमी से हत्या ने एक बार फिर आंदोलन के तौर तरीके और सलीके पर यक्ष प्रश्न खड़े कर दिए हैं. हत्याकांड के एक आरोप नारायण की कल गिरफ्तारी हुई थी. इस नारायण का एक वीडियो ज़ी मीडिया को मिला है. वीडियो उस वक्त का है जब नारायण इस आंदोलन में बढ़चढ़ का हिस्सा लेता था. नारायण इस मंच से खुलेआम खालिस्तान का समर्थन कर रहा है और भिंडरावाले का विरोध करने वालों को धमका रहा है.","Oct 17,2021, 13:18 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
599,"मनोहर लाल ने शाह को दी किसान आंदोलन की जानकारी, बॉर्डर जल्द खुलने की उम्मीद",हरियाणा के मुख्यमंत्री मनोहर लाल ने आज नई दिल्ली में केंद्रीय गृह मंत्री अमित शाह से मुलाकात की. मनोहर लाल ने बताया कि केंद्रीय गृहमंत्री के साथ सिंघु व टीकरी बॉर्डर को खुलवाने पर भी चर्चा हुई.,"Oct 9,2021, 16:27 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
600,किसानों की बात रखना पार्टी का विरोध नहीं : चौधरी बिरेंदर सिंह,हरियाणा के मुख्यमंत्री मनोहर लाल द्वारा अपना बयान वापस लेने पर चौधरी बिरेंदर सिंह ने कहा कि ये तो अच्छा है. कभी-कभी किसी के प्रभाव में आकर जुबान फिसल जाती है.,"Oct 8,2021, 19:48 PM IST",ZEE News,Kisaan Andolan,Anti BJP,Neutral ,
602,लखीमपुर खीरी हिंसा: कोर्ट ने कहा ऐसी घटनाएं होने पर नहीं लेता कोई जिम्मेदारी,अटार्नी जनरल के के वेणुगोपाल ने न्यायमूर्ति ए एम खानविलकर और न्यायमूर्ति सी टी रविकुमार की पीठ से कहा कि तीन नए कृषि कानूनों की वैधता को अदालत में चुनौती दी जा चुकी है ऐसी स्थिति में इस तरह के प्रदर्शनों पर रोक लगनी चाहिए.,"Oct 4,2021, 20:18 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
603,मृतक किसानों के परिजनों से मिलने यूपी जाएंगे छत्तीसगढ़ के CM भूपेश बघेल,जानकारी के मुताबिक यूपी के डिप्टी सीएम केशव प्रसाद मौर्य रविवार को लखीमपुर खीरी में केंद्रीय गृह राज्यमंत्री अजय मिश्र टेनी के गांव बनवीरपुर जा रहे थे. उन्हें रिसीव करने के लिए अजय मिश्रा के बेटे आशीष मिश्रा काफिले के साथ घर से निकले थे.,"Oct 3,2021, 23:00 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
605,"वीडियो: लखीमपुर खीरी में किसानों का हिंसक प्रदर्शन, केंद्रीय मंत्री के बेटे पर जानलेवा हमला","उप मुख्यमंत्री केशव मौर्या को रिसीव करने जाते समय केंद्रीय राज्यमंत्री के बेटे आशीष मिश्रा की गाड़ी का रास्ता रोककर किसान विरोध करने लगे. खुद को किसानों से घिरा देख केंद्रीय मंत्री के बेटे ने गाड़ी भगाने का प्रयास किया. आंदोलन कर रहे किसान उनकी गाड़ी के आगे आ गए. टक्कर लगने से 2 किसानों की मौत हो गई, वहीं, 8 घायल बताए जा रहे हैं. इससे नाराज किसानों ने मंत्री के बेटे की दो गाड़ियों में आग लगा दी.","Oct 3,2021, 18:09 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
606,किसान आंदोलन पर सुप्रीम कोर्ट ने उठाए गंभीर सवाल,राजधानी दिल्ली में जंतर मंतर पर धरना करने की इजाजत के मामले में सुप्रीम कोर्ट ने किसान महापंचायत को फटकार लगाई है. सुप्रीम कोर्ट ने कहा कि आपके पास अधिकार है तो लोगों के पास भी अधिकार है. सुप्रीम कोर्ट की जगह आप हाई कोर्ट भी जा सकते थे. आप शहर के अंदर घुसकर प्रदर्शन करना चाहते हैं.,"Oct 2,2021, 0:05 AM IST",ZEE News,Kisaan Andolan,Pro BJP,Anti Kisan,
607,"SC ने किसान समूह से कहा,'पूरे शहर का गला घोंट दिया, अब अंदर विरोध करना चाहते हैं'",अदालत ने कहा कि नागरिकों के पास भी आजादी से और बिना किसी डर के घूमने के बराबर हक हैं. उनकी जायदादों को नुकसान पहुंचाया जा रहा है.,"Oct 1,2021, 12:31 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,Quote
608,"विरोध के तरीके हजार, फिर क्यों बंद सड़कें और बाजार?","तीन कृषि कानूनों के विरोध में किसान संगठनों द्वारा सोमवार सुबह 6 बजे से शाम 4 बजे तक भारत बंद बुलाया गया. इस दौरान गुरुग्राम-दिल्ली बॉर्डर पर लोगों को भारी ट्रैफिक जाम का सामना करना पड़ा, वहीं कई ट्रेनें भी प्रभावित हुई. आम जनता को परेशान करने वाले भारत बंद की जगह किसान और किन-किन तरीकों से अपना विरोध जता सकते थे, जानने के लिए देखिए वीडियो.","Sep 27,2021, 22:55 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
609,सुबह 6 बजे से शाम 4 बजे तक रहा किसानों का 'भारत बंद',कृषि कानूनों के खिलाफ किसानों ने देशभर में सुबह 6 बजे से शाम 4 बजे तक भारत बंद बुलाया. इस दौरान विरोध प्रदर्शन हुए और सरकार से तीनों कानूनों को वापस लेने की मांग की गई.,"Sep 27,2021, 20:45 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
611,"कृषि कानूनों के खिलाफ किसानों का भारत बंद खत्म, जानिए कैसा रहा प्रदर्शन का असर",तीन कृषि कानूनों के विरोध में किसान संगठनों द्वारा सोमवार सुबह 6 बजे से शाम 4 बजे तक भारत बंद बुलाया गया. किसानों के प्रदर्शन का देशभर में मिला जुला असर देखने को मिला.,"Sep 27,2021, 17:25 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
612,"CG में नहीं दिखा भारत बंद का असर, कांग्रेस के सड़क पर न उतरने पर भाजपा ने ली चुटकी",छत्तीसगढ़ की राजधानी रायपुर में संयुक्त किसान मोर्चा का भारत बंद फीका रहा है. राजधानी समेत आसपास जिलों में भारत बंद का असर नहीं दिखा. सड़कों पर आवागमन सुचारू रूप से चालू था. बाजार की दुकानें भी खुली हुईं थीं.,"Sep 27,2021, 17:01 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
613,पूरे भारत में किसानों की तरफ से आज भारत बंद का आह्वान,"पूरे भारत में किसानों की तरफ से आज बंद का ऐलान किया गया है. देश में कहीं हाईवे बंद है तो कहीं स्टेट हाईवे, कहीं बाजार तो कहीं रेलवे ट्रैक भी किसानों की तरफ से जाम किया गया है.","Sep 27,2021, 12:50 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
614,"किसानों का कंधा, विपक्ष की बंदूक! जानें किसान आंदोलन के नाम पर 'भारत बंद' के मायने",कुछ किसान नेताओं ने आर-पार की लड़ाई की चेतावनी दी है. वहीं कुछ ने कहा कि मांगे नहीं मानी तो प्रधानमंत्री आवास के बाहर टेंट लगा दिया जाएगा. किसान नेताओं के आयोजन की वजह से दिल्ली-एनसीआर के लाखों लोगों को परेशानी का सामना करना पड़ा.,"Sep 27,2021, 12:02 PM IST",ZEE News,Kisaan Andolan,Pro BJP,Neutral ,
618,कृषि कानूनों के खिलाफ अकाली दल का प्रदर्शन,अकाली दल केंद्र के तीन कृषि कानूनों का एक साल पूरा होने पर इनके खिलाफ देश की राजधानी दिल्‍ली में आज विरोध प्रदर्शन किया जा रहा है और मार्च निकाला जा रहा है. इसके मद्देनजर दो मेट्रो स्‍टेशनों के गेट बंद कर दिए गए हैं.,"Sep 17,2021, 12:10 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
620,"सिंघु बॉर्डर पर रास्ता खुलवाने के लिए हाई पावर कमेटी का गठन, एसकेएम से करेगी बात",गृहमंत्री अनिल विज ने बताया कि कमेटी संयुक्त किसान मोर्चा से बात कर बॉर्डर पर रास्ता खुलवाने का प्रयास करेगी. सुप्रीम कोर्ट के आदेश के अनुसार दिल्ली आने-जाने वाले लोगों की सहूलियत के लिए संवाद कर हल निकाला जाएगा.,"Sep 16,2021, 15:54 PM IST",ZEE News,Kisaan Andolan,Neutral,Neutral ,
